ID,ExtName,Name,ChemicalSeries,Type,Description,Memo,Target,Range,CriticalTarget,AttackDamage,DamageIncrease,Heal,DebuffName,DebuffRate,DebuffRateIncrease,DebuffTurn,DotDamage,DotDamageTurn,BuffName,BuffRate,BuffTurn,BuffRateIncrease
10001,가연성,CardH2101,H,H2,"수소에 불을 지피면 펑! 하고 AttackDamage만큼 피해를 주고, 물 카드를 랜덤으로 1장 즉시 사용한다.",단일공격+,Enemy,Single,Solid,10,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10002,닷지,CardH101,H,H,수소는 몹시 가벼워 BuffTurn턴 간 BuffRate 확률로 적의 공격을 피할 수 있다.,회피,Ally,N/A,Solid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dodge,80,2,3
10003,수소 폭탄,CardH102,H,H,"수소의 동위원소들이 핵융합반응을 하며 버섯구름을 만든다. 적 전체에게 AttackDamage만큼의 피해를 주지만, 낙진으로 아군도 15%의 피해를 입는다.",광역 공격,Enemy,Wide,Solid,8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10004,다구리,CardH103,H,H,수소는 가장 흔한 원소다. 친구들과 함께 적 1명에게 AttackDamage만큼 피해를 준다.,단일 공격,Enemy,Single,Solid,15,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10005,산성비,CardH104,H,H,"비에 수소이온(H+)을 섞어 산성비로 만들어 적 전체에 뿌린다. 적은 AttackDamage만큼의 피해를 입고, DebuffTurn턴 간 DotDamage의 지속 피해를 입는다. ",광역 공격+,Enemy,Wide,Solid,5,1,N/A,DotDamage,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A
10006,쓰나미,CardH2O101,N/A,H2O,거대한 쓰나미를 일으켜 적 전체에 AttackDamage의 피해를 준다.,광역 공격,Enemy,Wide,Liquid,8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10007,피카츄턴건,CardLi101,AlkaliMetal,Li,리튬 전지로 충전된 스턴건으로 AttackDamage의 피해를 주고 DebuffTurn간 기절시킨다.,단일 공격+,Enemy,Single,Liquid,6,1,N/A,Stun,50,2,1,N/A,N/A,N/A,N/A,N/A,N/A
10008,피카챠,CardLi102,AlkaliMetal,Li,리튬 전지로 전기 자동차를 굴려 교통사고를 낸다. 적 전체에 AttackDamage의 피해를 준다.,광역 공격,Enemy,Wide,Liquid,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10009,정신 안정,CardLi103,AlkaliMetal,Li,조울증 치료제로 쓰이는 리튬은 마음을 안정시켜 회복을 돕는다. HP가 Heal만큼 회복된다.,치유,Ally,Single,Liquid,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,백만볼트,CardNa101,AlkaliMetal,Na,전기가 잘 통하는 전해질인 나트륨은 백만 볼트를 날려 AttackDamage의 데미지를 주고 DebuffRate의 확률로 DebuffTurn턴간 적을 기절시킨다.,단일 공격+,Enemy,Single,Gas,5,1,N/A,Stun,60,2,1,N/A,N/A,N/A,N/A,N/A,N/A
10011,영양 보충,CardNa102,AlkaliMetal,Na,나트륨은 몸에 필수적이다. 영양을 보충하여 HP를 Heal만큼 회복한다.,치유,Ally,Single,Gas,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10012,포세이돈,CardNa103,AlkaliMetal,Na,바다에는 많은 나트륨이 포함되어 있다. 파도의 힘으로 부왁! 하고 모두를 쓸어버리고 AttackDamage의 피해를 준다. ,광역 공격,Enemy,Wide,Gas,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10013,공기 중에서 퍼엉!!,CardAlkaliMetal101,AlkaliMetal,N/A,적이나 내가 산소 카드를 사용하면 강렬하게 반응하여 적 전체에 AttackDamage의 광역 피해를 준다.,광역 공격,Enemy,Wide,Gas,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10014,물 속에서 퍼엉!!,CardAlkaliMetal101,AlkaliMetal,N/A,"적이나 내가 물 카드를 사용하면 강렬하게 반응하여 적 전체에 AttackDamage의 광역 피해를 주고, 랜덤 수소 카드 한 장을 즉시 사용한다. ",광역 공격,Enemy,Wide,Gas,10,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10015,고혈압,CardNaCl101,N/A,NaCl,소금을 과다섭취해서는 안된다. 고혈압이 2스택 쌓이면  AttackDamage만큼 급작스러운 피해를 입는다.,단일 공격,Enemy,Single,Solid,20,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
