ID,ElectronCount,Arr1,Arr2,Arr3,Arr4,Arr5,Arr6,Arr7,Arr8
1g1,1,1,0,0,0,0,0,0,0
1g2,1,0,1,0,0,0,0,0,0
1g3,1,0,0,1,0,0,0,0,0
1g4,1,0,0,0,1,0,0,0,0
1g5,1,0,0,0,0,1,0,0,0
1g6,1,0,0,0,0,0,1,0,0
1g7,1,0,0,0,0,0,0,1,0
1g8,1,0,0,0,0,0,0,0,1
2g1,2,1,1,0,0,0,0,0,0
2g2,2,1,0,1,0,0,0,0,0
2g3,2,1,0,0,1,0,0,0,0
2g4,2,1,0,0,0,1,0,0,0
2g5,2,1,0,0,0,0,1,0,0
2g6,2,1,0,0,0,0,0,1,0
2g7,2,1,0,0,0,0,0,0,1
2g8,2,0,1,1,0,0,0,0,0
2g9,2,0,1,0,1,0,0,0,0
2g10,2,0,1,0,0,1,0,0,0
2g11,2,0,1,0,0,0,1,0,0
2g12,2,0,1,0,0,0,0,1,0
2g13,2,0,1,0,0,0,0,0,1
2g14,2,0,0,1,1,0,0,0,0
2g15,2,0,0,1,0,1,0,0,0
2g16,2,0,0,1,0,0,1,0,0
2g17,2,0,0,1,0,0,0,1,0
2g18,2,0,0,1,0,0,0,0,1
2g19,2,0,0,0,1,1,0,0,0
2g20,2,0,0,0,1,0,1,0,0
2g21,2,0,0,0,1,0,0,1,0
2g22,2,0,0,0,1,0,0,0,1
3g1,3,1,1,1,0,0,0,0,0
3g2,3,1,1,0,1,0,0,0,0
3g3,3,1,1,0,0,1,0,0,0
3g4,3,1,1,0,0,0,1,0,0
3g5,3,1,1,0,0,0,0,1,0
3g6,3,1,1,0,0,0,0,0,1
3g7,3,1,0,1,1,0,0,0,0
3g8,3,1,0,1,0,1,0,0,0
3g9,3,1,0,1,0,0,1,0,0
3g10,3,1,0,1,0,0,0,1,0
3g11,3,1,0,1,0,0,0,0,1
3g12,3,1,0,0,1,1,0,0,0
3g13,3,1,0,0,1,0,1,0,0
3g14,3,1,0,0,1,0,0,1,0
3g15,3,1,0,0,1,0,0,0,1
3g16,3,1,0,0,0,1,1,0,0
3g17,3,1,0,0,0,1,0,1,0
3g18,3,1,0,0,0,1,0,0,1
3g19,3,1,0,0,0,0,1,1,0
3g20,3,1,0,0,0,0,1,0,1
3g21,3,1,0,0,0,0,0,1,1
3g22,3,0,1,1,1,0,0,0,0
3g23,3,0,1,1,0,1,0,0,0
3g24,3,0,1,1,0,0,1,0,0
3g25,3,0,1,1,0,0,0,1,0
3g26,3,0,1,1,0,0,0,0,1
3g27,3,0,1,0,1,1,0,0,0
3g28,3,0,1,0,1,0,1,0,0
3g29,3,0,1,0,1,0,0,1,0
3g30,3,0,1,0,1,0,0,0,1
3g31,3,0,1,0,0,1,1,0,0
3g32,3,0,1,0,0,1,0,1,0
3g33,3,0,1,0,0,1,0,0,1
3g34,3,0,1,0,0,0,1,1,0
3g35,3,0,1,0,0,0,1,0,1
3g36,3,0,1,0,0,0,0,1,1
3g37,3,0,0,1,1,1,0,0,0
3g38,3,0,0,1,1,0,1,0,0
3g39,3,0,0,1,1,0,0,1,0
3g40,3,0,0,1,1,0,0,0,1
3g41,3,0,0,1,0,1,1,0,0
3g42,3,0,0,1,0,1,0,1,0
3g43,3,0,0,1,0,1,0,0,1
3g44,3,0,0,1,0,0,1,1,0
3g45,3,0,0,1,0,0,1,0,1
3g46,3,0,0,1,0,0,0,1,1
3g47,3,0,0,0,1,1,1,0,0
3g48,3,0,0,0,1,1,0,1,0
3g49,3,0,0,0,1,1,0,0,1
3g50,3,0,0,0,1,0,1,1,0
3g51,3,0,0,0,1,0,1,0,1
3g52,3,0,0,0,1,0,0,1,1
3g53,3,0,0,0,0,1,1,1,0
3g54,3,0,0,0,0,1,1,0,1
3g55,3,0,0,0,0,1,0,1,1
3g56,3,0,0,0,0,0,1,1,1
4g1,4,1,1,1,1,0,0,0,0
4g2,4,1,1,1,0,1,0,0,0
4g3,4,1,1,1,0,0,1,0,0
4g4,4,1,1,1,0,0,0,1,0
4g5,4,1,1,1,0,0,0,0,1
4g6,4,1,1,0,1,1,0,0,0
4g7,4,1,1,0,1,0,1,0,0
4g8,4,1,1,0,1,0,0,1,0
4g9,4,1,1,0,1,0,0,0,1
4g10,4,1,1,0,0,1,1,0,0
4g11,4,1,1,0,0,1,0,1,0
4g12,4,1,1,0,0,1,0,0,1
4g13,4,1,1,0,0,0,1,1,0
4g14,4,1,1,0,0,0,1,0,1
4g15,4,1,1,0,0,0,0,1,1
4g16,4,1,0,1,1,1,0,0,0
4g17,4,1,0,1,1,0,1,0,0
4g18,4,1,0,1,1,0,0,1,0
4g19,4,1,0,1,1,0,0,0,1
4g20,4,1,0,1,0,1,1,0,0
4g21,4,1,0,1,0,1,0,1,0
4g22,4,1,0,1,0,1,0,0,1
4g23,4,1,0,1,0,0,1,1,0
4g24,4,1,0,1,0,0,1,0,1
4g25,4,1,0,1,0,0,0,1,1
4g26,4,1,0,0,1,1,1,0,0
4g27,4,1,0,0,1,1,0,1,0
4g28,4,1,0,0,1,1,0,0,1
4g29,4,1,0,0,1,0,1,1,0
4g30,4,1,0,0,1,0,1,0,1
4g31,4,1,0,0,1,0,0,1,1
4g32,4,1,0,0,0,1,1,1,0
4g33,4,1,0,0,0,1,1,0,1
4g34,4,1,0,0,0,1,0,1,1
4g35,4,1,0,0,0,0,1,1,1
4g36,4,0,1,1,1,1,0,0,0
4g37,4,0,1,1,1,0,1,0,0
4g38,4,0,1,1,1,0,0,1,0
4g39,4,0,1,1,1,0,0,0,1
4g40,4,0,1,1,0,1,1,0,0
4g41,4,0,1,1,0,1,0,1,0
4g42,4,0,1,1,0,1,0,0,1
4g43,4,0,1,1,0,0,1,1,0
4g44,4,0,1,1,0,0,1,0,1
4g45,4,0,1,1,0,0,0,1,1
4g46,4,0,1,0,1,1,1,0,0
4g47,4,0,1,0,1,1,0,1,0
4g48,4,0,1,0,1,1,0,0,1
4g49,4,0,1,0,1,0,1,1,0
4g50,4,0,1,0,1,0,1,0,1
4g51,4,0,1,0,1,0,0,1,1
4g52,4,0,1,0,0,1,1,1,0
4g53,4,0,1,0,0,1,1,0,1
4g54,4,0,1,0,0,1,0,1,1
4g55,4,0,1,0,0,0,1,1,1
4g56,4,0,0,1,1,1,1,0,0
4g57,4,0,0,1,1,1,0,1,0
4g58,4,0,0,1,1,1,0,0,1
4g59,4,0,0,1,1,0,1,1,0
4g60,4,0,0,1,1,0,1,0,1
4g61,4,0,0,1,1,0,0,1,1
4g62,4,0,0,1,0,1,1,1,0
4g63,4,0,0,1,0,1,1,0,1
4g64,4,0,0,1,0,1,0,1,1
4g65,4,0,0,1,0,0,1,1,1
4g66,4,0,0,0,1,1,1,1,0
4g67,4,0,0,0,1,1,1,0,1
4g68,4,0,0,0,1,1,0,1,1
4g69,4,0,0,1,1,0,1,1,1
4g70,4,0,0,1,0,1,1,1,1
5g1,5,0,0,0,1,1,1,1,1
5g2,5,0,0,1,0,1,1,1,1
5g3,5,0,0,1,1,0,1,1,1
5g4,5,0,0,1,1,1,0,1,1
5g5,5,0,0,1,1,1,1,0,1
5g6,5,0,0,1,1,1,1,1,0
5g7,5,0,1,0,0,1,1,1,1
5g8,5,0,1,0,1,0,1,1,1
5g9,5,0,1,0,1,1,0,1,1
5g10,5,0,1,0,1,1,1,0,1
5g11,5,0,1,0,1,1,1,1,0
5g12,5,0,1,1,0,0,1,1,1
5g13,5,0,1,1,0,1,0,1,1
5g14,5,0,1,1,0,1,1,0,1
5g15,5,0,1,1,0,1,1,1,0
5g16,5,0,1,1,1,0,0,1,1
5g17,5,0,1,1,1,0,1,0,1
5g18,5,0,1,1,1,0,1,1,0
5g19,5,0,1,1,1,1,0,0,1
5g20,5,0,1,1,1,1,0,1,0
5g21,5,0,1,1,1,1,1,0,0
5g22,5,1,0,0,0,1,1,1,1
5g23,5,1,0,0,1,0,1,1,1
5g24,5,1,0,0,1,1,0,1,1
5g25,5,1,0,0,1,1,1,0,1
5g26,5,1,0,0,1,1,1,1,0
5g27,5,1,0,1,0,0,1,1,1
5g28,5,1,0,1,0,1,0,1,1
5g29,5,1,0,1,0,1,1,0,1
5g30,5,1,0,1,0,1,1,1,0
5g31,5,1,0,1,1,0,0,1,1
5g32,5,1,0,1,1,0,1,0,1
5g33,5,1,0,1,1,0,1,1,0
5g34,5,1,0,1,1,1,0,0,1
5g35,5,1,0,1,1,1,0,1,0
5g36,5,1,0,1,1,1,1,0,0
5g37,5,1,1,0,0,0,1,1,1
5g38,5,1,1,0,0,1,0,1,1
5g39,5,1,1,0,0,1,1,0,1
5g40,5,1,1,0,0,1,1,1,0
5g41,5,1,1,0,1,0,0,1,1
5g42,5,1,1,0,1,0,1,0,1
5g43,5,1,1,0,1,0,1,1,0
5g44,5,1,1,0,1,1,0,0,1
5g45,5,1,1,0,1,1,0,1,0
5g46,5,1,1,0,1,1,1,0,0
5g47,5,1,1,1,0,0,0,1,1
5g48,5,1,1,1,0,0,1,0,1
5g49,5,1,1,1,0,0,1,1,0
5g50,5,1,1,1,0,1,0,0,1
5g51,5,1,1,1,0,1,0,1,0
5g52,5,1,1,1,0,1,1,0,0
5g53,5,1,1,1,1,0,0,0,1
5g54,5,1,1,1,1,0,0,1,0
5g55,5,1,1,1,1,0,1,0,0
5g56,5,1,1,1,1,1,0,0,0
6g1,6,0,0,1,1,1,1,1,1
6g2,6,0,1,0,1,1,1,1,1
6g3,6,0,1,1,0,1,1,1,1
6g4,6,0,1,1,1,0,1,1,1
6g5,6,0,1,1,1,1,0,1,1
6g6,6,0,1,1,1,1,1,0,1
6g7,6,0,1,1,1,1,1,1,0
6g8,6,1,0,0,1,1,1,1,1
6g9,6,1,0,1,0,1,1,1,1
6g10,6,1,0,1,1,0,1,1,1
6g11,6,1,0,1,1,1,0,1,1
6g12,6,1,0,1,1,1,1,0,1
6g13,6,1,0,1,1,1,1,1,0
6g14,6,1,1,0,0,1,1,1,1
6g15,6,1,1,0,1,0,1,1,1
6g16,6,1,1,0,1,1,0,1,1
6g17,6,1,1,0,1,1,1,0,1
6g18,6,1,1,0,1,1,1,1,0
6g19,6,1,1,1,0,0,1,1,1
6g20,6,1,1,1,0,1,0,1,1
6g21,6,1,1,1,0,1,1,0,1
6g22,6,1,1,1,0,1,1,1,0
7g1,7,0,1,1,1,1,1,1,1
7g2,7,1,0,1,1,1,1,1,1
7g3,7,1,1,0,1,1,1,1,1
7g4,7,1,1,1,0,1,1,1,1
7g5,7,1,1,1,1,0,1,1,1
7g6,7,1,1,1,1,1,0,1,1
7g7,7,1,1,1,1,1,1,0,1
7g8,7,1,1,1,1,1,1,1,0
8g1,8,1,1,1,1,1,1,1,1
